"Pathway1 KEGG","Pathway2 KEGG","Connecting reactions","Connection metabolites"
"map00053","map00520","R00286|R00889|R01381|R01476|R07672","C00029|C00001|C00003|C00167|C00004|C00080|C00096|C02280|C00075|C05385|C00013|C00002|C00191|C00008|C15925"
"map00053","map00630","",""
"map00053","map00040","R00264|R00286|R01381|R01476|R01481|R02637|R02639|R03244|R04515|R04784|R05850|R07125|R07127|R07676","C00433|C00006|C00001|C00026|C00005|C00080|C00029|C00003|C00167|C00004|C00075|C05385|C00013|C00002|C00191|C00008|C00800|C00618|C04575|C01101|C03291|C05411|C00011|C05412|C00231|C14899|C15930|C00333"
"map00053","map00020","",""
"map00053","map00520","R00286|R00889|R01381|R01476|R07672","C00029|C00001|C00003|C00167|C00004|C00080|C00096|C02280|C00075|C05385|C00013|C00002|C00191|C00008|C15925"
"map00053","map00040","R00264|R00286|R01381|R01476|R01481|R02637|R02639|R03244|R04515|R04784|R05850|R07125|R07127|R07676","C00433|C00006|C00001|C00026|C00005|C00080|C00029|C00003|C00167|C00004|C00075|C05385|C00013|C00002|C00191|C00008|C00800|C00618|C04575|C01101|C03291|C05411|C00011|C05412|C00231|C14899|C15930|C00333"
"map00061","map00071","R01280","C00002|C00249|C00010|C00020|C00154|C00013"
"map00061","map00061","R00742|R01280|R01624|R01626|R01706|R02663|R02814|R03175|R03370|R04014|R04098|R04355|R04428|R04429|R04430|R04533|R04534|R04535|R04536|R04537|R04543|R04544|R04566|R04568|R04724|R04725|R04726|R04952|R04953|R04954|R04955|R04956|R04957|R04958|R04959|R04960|R04961|R04962|R04963|R04964|R04965|R04966|R04967|R04968|R04969|R04970|R05188|R05190|R07639|R07762|R07763|R07764|R07765|R08157|R08158|R08159|R08161|R08162|R08163|R10700|R10707|R10714","C00002|C00024|C00288|C00008|C00009|C00083|C00249|C00010|C00020|C00154|C00013|C00229|C03939|C01209|C05764|C00001|C00630|C05996|C01203|C00712|C15980|C04088|C00030|C00007|C00028|C05223|C02679|C02939|C05744|C00011|C04618|C04246|C05745|C00003|C00004|C00080|C00006|C00005|C04619|C05753|C05754|C04620|C05750|C05751|C04633|C05762|C05763|C04688|C05759|C05760|C05758|C05746|C05747|C05748|C05749|C05752|C05755|C05756|C05757|C05761|C00638|C02843|C04180|C16219|C16220|C16221|C06423|C01571|C06424|C16520|C08362|C01530|C20794"
"map00061","map00620","R00742","C00002|C00024|C00288|C00008|C00009|C00083"
"map00061","map00020","",""
"map00061","map00410","",""
"map00061","map00785","",""
"map00061","map00564","",""
"map00061","map00561","",""
"map00061","map00062","",""
"map00062","map00071","R01177|R03778|R03858|R03991|R04170|R04737|R04738|R04739|R04740|R04741|R04742|R04743|R04744|R04745|R04746|R04747|R04748|R04749","C00024|C00136|C00010|C05269|C01944|C05265|C01832|C05261|C02593|C05259|C05262|C03221|C00001|C05258|C00003|C00004|C00080|C05272|C05260|C05273|C05263|C05274|C05264|C05275|C05266|C05267|C05276|C05270|C05268|C05271"
"map00062","map00062","R00385|R00391|R01177|R01274|R01278|R01778|R02685|R03776|R03778|R03856|R03858|R03989|R03991|R04170|R04737|R04738|R04739|R04740|R04741|R04742|R04743|R04744|R04745|R04746|R04747|R04748|R04749|R04753|R06985|R07162|R09450|R10825|R10826|R10827|R10828","C00040|C00006|C00605|C00005|C00080|C00024|C00010|C00264|C00136|C05269|C00154|C00001|C00249|C05272|C00640|C00003|C00004|C00658|C01944|C05276|C05265|C01832|C03221|C05261|C02593|C05273|C05259|C05262|C05258|C05260|C05263|C05274|C05264|C05275|C05266|C05267|C05270|C05268|C05271|C02843|C00638|C20876|C00083|C20877|C00011|C20878|C20879"
"map00062","map00071","R01177|R03778|R03858|R03991|R04170|R04737|R04738|R04739|R04740|R04741|R04742|R04743|R04744|R04745|R04746|R04747|R04748|R04749","C00024|C00136|C00010|C05269|C01944|C05265|C01832|C05261|C02593|C05259|C05262|C03221|C00001|C05258|C00003|C00004|C00080|C05272|C05260|C05273|C05263|C05274|C05264|C05275|C05266|C05267|C05276|C05270|C05268|C05271"
"map00062","map00073","",""
"map00071","map00072","R00238","C00024|C00010|C00332"
"map00071","map00252","","C00024|C00010|C00332"
"map00071","map00020","",""
"map00071","map00061","R01280","C00002|C00249|C00010|C00020|C00154|C00013"
"map00071","map00062","R01177|R03778|R03858|R03991|R04170|R04737|R04738|R04739|R04740|R04741|R04742|R04743|R04744|R04745|R04746|R04747|R04748|R04749","C00024|C00136|C00010|C05269|C01944|C05265|C01832|C05261|C02593|C05259|C05262|C03221|C00001|C05258|C00003|C00004|C00080|C05272|C05260|C05273|C05263|C05274|C05264|C05275|C05266|C05267|C05276|C05270|C05268|C05271"
"map00071","map00561","",""
"map00071","map00071","R00238|R00623|R00631|R00638|R00639|R01175|R01177|R01279|R01280|R01347|R01348|R01406|R01704|R01923|R01975|R02000|R02002|R02281|R02402|R02462|R02487|R03026|R03276|R03777|R03778|R03857|R03858|R03990|R03991|R04121|R04170|R04737|R04738|R04739|R04740|R04741|R04742|R04743|R04744|R04745|R04746|R04747|R04748|R04749|R04751|R04754|R04756","C00024|C00010|C00332|C00226|C00003|C00071|C00004|C00080|C00001|C00162|C00028|C00030|C00136|C00016|C01352|C00877|C05269|C00154|C05272|C00002|C00249|C00020|C00013|C00007|C00340|C03547|C00435|C03024|C03161|C00638|C00229|C20683|C00517|C00318|C02990|C01144|C00006|C00005|C01371|C00489|C00008|C00009|C00527|C00823|C00011|C03561|C01944|C05276|C05265|C01832|C03221|C05261|C02593|C05273|C05259|C05102|C05262|C05258|C05260|C05263|C05274|C05264|C05275|C05266|C05267|C05270|C05268|C05271|C05280|C05279"
"map00071","map00650","R00238|R01175|R01975|R03026|R03276","C00024|C00010|C00332|C00136|C00016|C01352|C00877|C01144|C00003|C00004|C00080|C00001|C03561"
"map00072","map00072","R00238|R00410|R01360|R01361|R01366|R01978","C00024|C00010|C00332|C00091|C00164|C00042|C00356|C01089|C00003|C00004|C00080|C00207|C00011|C00001"
"map00072","map00071","R00238","C00024|C00010|C00332"
"map00072","map00620","R00238","C00024|C00010|C00332"
"map00072","map00010","",""
"map00072","map00650","R00238|R00410|R01360|R01361|R01978","C00024|C00010|C00332|C00091|C00164|C00042|C00356|C01089|C00003|C00004|C00080|C00001"
"map00073","map00073","R01999|R02042|R02620|R09106|R09448|R09451|R09452|R09453|R09454|R09455|R09456|R09457|R09458|R09459|R09460|R09461|R09462|R09463|R09464|R09465|R09466|R09467|R09468|R09469|R09470|R09474","C00040|C00339|C00010|C02434|C01629|C00001|C00347|C00609|C00006|C02843|C00005|C00080|C00406|C18218|C18217|C19614|C00249|C00007|C00712|C19616|C19418|C19620|C08281|C19623|C19617|C19624|C19615|C19618|C19625|C08285|C19622|C19621|C01025|C00069|C01371|C00237|C01612|C01450|C19630|C00226"
"map00073","map00940","",""
"map00073","map01040","",""
"map00073","map01040","",""
"map00073","map00062","",""
"map00073","map00062","",""
"map00073","map01040","",""
"map00100","map00905","",""
