"Pathway ID","Pathway KEGG","Reaction KEGG ID"
"15","map00130","R04030"
"15","map00130","R04031"
"15","map00130","R04711"
"15","map00130","R04982"
"15","map00130","R04983"
"15","map00130","R04984"
"15","map00130","R04985"
"15","map00130","R04986"
"15","map00130","R04987"
"15","map00130","R04988"
"15","map00130","R04989"
"15","map00130","R04990"
"15","map00130","R04993"
"15","map00130","R05000"
"15","map00130","R05144"
"15","map00130","R05454"
"15","map00130","R05455"
"15","map00130","R05614"
"15","map00130","R05615"
"15","map00130","R05616"
"15","map00130","R05617"
"15","map00130","R06146"
"15","map00130","R06858"
"15","map00130","R06859"
"15","map00130","R06865"
"15","map00130","R06866"
"15","map00130","R07235"
"15","map00130","R07236"
"15","map00130","R07262"
"15","map00130","R07263"
"15","map00130","R07273"
"15","map00130","R07500"
"15","map00130","R07501"
"15","map00130","R07502"
"15","map00130","R07503"
"15","map00130","R07504"
"15","map00130","R07508"
"15","map00130","R08165"
"15","map00130","R08166"
"15","map00130","R08587"
"15","map00130","R08588"
"15","map00130","R08589"
"15","map00130","R08596"
"15","map00130","R08766"
"15","map00130","R08767"
"15","map00130","R08768"
"15","map00130","R08769"
"15","map00130","R08770"
"15","map00130","R08771"
"15","map00130","R08772"
"15","map00130","R08773"
"15","map00130","R08774"
"15","map00130","R08775"
"15","map00130","R08781"
"15","map00130","R08782"
"15","map00130","R09039"
"15","map00130","R09040"
"15","map00130","R09041"
"15","map00130","R09042"
"15","map00130","R09043"
"15","map00130","R09044"
"15","map00130","R09045"
"15","map00130","R09046"
"15","map00130","R09991"
"15","map00130","R09992"
"15","map00130","R10491"
"15","map00130","R10492"
"15","map00130","R10623"
"15","map00130","R10624"
"15","map00130","R10666"
"15","map00130","R10667"
"15","map00130","R10668"
"15","map00130","R10695"
"15","map00130","R10708"
"15","map00130","R10709"
"15","map00130","R10710"
"16","map00140","R00535"
"16","map00140","R00536"
"16","map00140","R00537"
"16","map00140","R01454"
"16","map00140","R01833"
"16","map00140","R01835"
"16","map00140","R01836"
"16","map00140","R01837"
"16","map00140","R01838"
"16","map00140","R01840"
"16","map00140","R01841"
"16","map00140","R01842"
"16","map00140","R02207"
"16","map00140","R02208"
"16","map00140","R02209"
"16","map00140","R02211"
"16","map00140","R02213"
"16","map00140","R02214"
"16","map00140","R02215"
"16","map00140","R02216"
"16","map00140","R02218"
"16","map00140","R02219"
"16","map00140","R02347"
"16","map00140","R02349"
"16","map00140","R02350"
"16","map00140","R02351"
"16","map00140","R02352"
"16","map00140","R02353"
"16","map00140","R02354"
